County,Location Number,Location,Address,Zip Code,Dates Available,Hours,Early Voting Location,Note,Latitude,Longitude
Alachua,1,Alachua County Supervisor of Elections Office,"515 N. Main St., Suite 100, Gainesville,FL",32601,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Dropbox is located outside of building,29.65636,-82.3248
Alachua,2,Tower Road Branch Library,"3020 SW 75th St., Gainesville, FL",32608,October 19th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,29.62575,-82.4232
Alachua,3,Millhopper Branch Library,"3145 NW 43rd St., Gainesville, FL",32606,October 19th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,29.68206,-82.3879
Alachua,4,Legacy Park Multipurpose Center,"15400 Peggy Road, Alachua, FL",32615,October 19th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,29.78589,-82.5045
Alachua,5,Orange Heights Baptist Church,"16700 NE SR 26, Hawthorne, FL",32640,October 19th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,29.71658,-82.1423
Alachua,6,J. Wayne Reitz Union,"655 Reitz Union Drive, Ground Floor of the Career Connections Center, University of Florida Campus, Gainesville, FL",32611,October 19th - October 31st,9:00 a.m. to 6:00 p.m.,Yes,,29.64623,-82.348
Baker,1,Baker Supervisor of Elections Office,"32 N 5th St., Macclenny, FL",32063,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Dropbox is located outside of building,30.28292,-82.1224
Bay,1,Lyndell Conference Center,"423 Lyndell LN, Panama City Beach, FL ",32407,October 24th - November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.19794,-85.8301
Bay,2,Frank Nelson Building,"4201 W 22nd St, Panama City, FL",32405,October 24th - November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.18826,-85.7146
Bay,3,Robert's Hall,"831 Florida Ave, Lynn Haven, FL ",32444,October 24th - November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.24544,-85.6495
Bay,4,Palo Alto Church of Christ,"3119 N Hwy 231, Panama City, FL",32405,October 24th - November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.2088,-85.6152
Bay,5,Parkway Presbyterian Church,"505 S Tyndall Pkwy, Panama City, FL",32404,October 24th - November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.13778,-85.5906
Bay,6,Bay County Supervisor of Elections Office,"830 W 11th St, Panama City, FL",32401,October 24th - November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.17026,-85.6724
Bay,7,Glenwood Community Center,"722 E 9th Ct, Panama City, FL",32401,October 24th - November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.16506,-85.6492
Bay,8,LaQuinta Inn,"7115 Coastal Palms Blvd, Panama City Beach, FL ",32408,November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.17437,-85.7616
Bay,9,Woodstock Church of Panama City Beach,"17495 Panama Beach Pkwy, Panama City Beach, FL ",32413,November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.3103,-85.9053
Bay,10,Sand Hills Fire Station,"13010 Hwy 77, Southport, FL",32409,November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.38658,-85.6844
Bay,11,Youngstown Fire Station,"11771 Hwy 231, Youngstown, FL",32466,November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.36024,-85.4393
Bay,12,Fountain Fire Station,"17822 Center Dr, Fountain, FL",32438,November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,30.47881,-85.4197
Bay,13,1st Baptist of Mexico Beach,"823 N 15th St, Mexico Beach, FL",32456,November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,,29.94206,-85.3955
Bay,14,Salvation Army ,"2601 S Hwy 77, Lynn Haven, FL",32444,November 2nd,7:00 a.m. to 7:00 p.m.,Super Voting Center,New Early Voting location,30.21789,-85.6482
Bay,15,Supervisor of Elections Office,"830 W. 11th St., Panama City, FL",32401,From when VBM ballots are mailed out to Election Day at 7pm,24/7,No,Dropbox is located outside of building,30.17026,-85.6724
