"county_id"	"county_desc"	"voter_reg_num"	"election_lbl"	"election_desc"	"voting_method"	"voted_party_cd"	"voted_party_desc"	"pct_label"	"pct_description"	"ncid"	"voted_county_id"	"voted_county_desc"	"vtd_label"	"vtd_description"
"89"	"TYRRELL"	"000000005289"	"11/08/2016"	"11/08/2016 GENERAL"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"EAB"	"EAST ABERDEEN"	"AA146648"	"63"	"MOORE"	"EAB"	"EAB"
"89"	"TYRRELL"	"000000005289"	"11/06/2012"	"11/06/2012 GENERAL"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"10S"	"SOUTH MELVILLE"	"AA146648"	"1"	"ALAMANCE"	"10S"	"10S"
"89"	"TYRRELL"	"000000005289"	"05/08/2012"	"05/08/2012 PRIMARY"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"10S"	"SOUTH MELVILLE"	"AA146648"	"1"	"ALAMANCE"	"10S"	"10S"
"89"	"TYRRELL"	"000000005289"	"11/08/2011"	"11/08/2011 MUNICIPAL GENERAL"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"10S"	"SOUTH MELVILLE"	"AA146648"	"1"	"ALAMANCE"	"10S"	"10S"
"89"	"TYRRELL"	"000000005289"	"11/04/2014"	"11/04/2014 GENERAL"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"10S"	"SOUTH MELVILLE"	"AA146648"	"1"	"ALAMANCE"	"10S"	"10S"
"89"	"TYRRELL"	"000000005289"	"05/06/2014"	"05/06/2014 PRIMARY"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"10S"	"SOUTH MELVILLE"	"AA146648"	"1"	"ALAMANCE"	"10S"	"10S"
"89"	"TYRRELL"	"000000005289"	"11/02/2010"	"11/02/2010 GENERAL"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"10S"	"SOUTH MELVILLE"	"AA146648"	"1"	"ALAMANCE"	"10S"	"10S"
"89"	"TYRRELL"	"000000005289"	"11/05/2013"	"11/05/2013 MUNICIPAL GENERAL"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"10S"	"SOUTH MELVILLE"	"AA146648"	"1"	"ALAMANCE"	"10S"	"10S"
"89"	"TYRRELL"	"000000005289"	"03/03/2020"	"03/03/2020 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"15"	"SCUPPERNONG"	"AA146648"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000005289"	"11/06/2018"	"11/06/2018 GENERAL"	"IN-PERSON"	"UNA"	"UNAFFILIATED"	"15"	"SCUPPERNONG"	"AA146648"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000005078"	"11/08/2016"	"11/08/2016 GENERAL"	"ABSENTEE ONESTOP"	"UNA"	"UNAFFILIATED"	"2"	"COLUMBIA"	"AA151516"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004970"	"11/06/2018"	"11/06/2018 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AG24580"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004970"	"11/08/2016"	"11/08/2016 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AG24580"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000003538"	"11/06/2012"	"11/06/2012 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"15"	"SCUPPERNONG"	"AG26344"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000003538"	"03/15/2016"	"03/15/2016 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"15"	"SCUPPERNONG"	"AG26344"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000003538"	"05/08/2018"	"05/08/2018 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"15"	"SCUPPERNONG"	"AG26344"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000003538"	"11/04/2014"	"11/04/2014 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"15"	"SCUPPERNONG"	"AG26344"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000003538"	"11/08/2016"	"11/08/2016 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"15"	"SCUPPERNONG"	"AG26344"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000003538"	"11/06/2018"	"11/06/2018 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"15"	"SCUPPERNONG"	"AG26344"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000003538"	"11/02/2010"	"11/02/2010 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"15"	"SCUPPERNONG"	"AG26344"	"89"	"TYRRELL"	"15"	"15"
"89"	"TYRRELL"	"000000004778"	"11/08/2016"	"11/08/2016 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AG40433"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004778"	"05/08/2018"	"05/08/2018 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AG40433"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004778"	"11/06/2018"	"11/06/2018 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AG40433"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004574"	"05/08/2012"	"05/08/2012 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"BELHV"	"BELHAVEN"	"AG43787"	"7"	"BEAUFORT"	"BELHV"	"BELHV"
"89"	"TYRRELL"	"000000004574"	"11/02/2010"	"11/02/2010 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"BELHV"	"BELHAVEN"	"AG43787"	"7"	"BEAUFORT"	"BELHV"	"BELHV"
"89"	"TYRRELL"	"000000004574"	"11/04/2014"	"11/04/2014 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43787"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004574"	"11/08/2016"	"11/08/2016 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43787"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004574"	"05/06/2014"	"05/06/2014 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43787"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004574"	"03/15/2016"	"03/15/2016 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43787"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004574"	"03/03/2020"	"03/03/2020 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43787"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004574"	"11/06/2018"	"11/06/2018 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43787"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004574"	"11/06/2012"	"11/06/2012 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43787"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004573"	"11/06/2012"	"11/06/2012 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43788"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004573"	"03/03/2020"	"03/03/2020 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43788"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004573"	"11/04/2014"	"11/04/2014 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43788"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004573"	"11/08/2016"	"11/08/2016 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43788"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004573"	"09/10/2019"	"09/10/2019 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43788"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004573"	"11/06/2018"	"11/06/2018 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"3"	"GUMNECK"	"AG43788"	"89"	"TYRRELL"	"3"	"3"
"89"	"TYRRELL"	"000000004573"	"11/02/2010"	"11/02/2010 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"BELHV"	"BELHAVEN"	"AG43788"	"7"	"BEAUFORT"	"BELHV"	"BELHV"
"89"	"TYRRELL"	"000000004573"	"05/08/2012"	"05/08/2012 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"BELHV"	"BELHAVEN"	"AG43788"	"7"	"BEAUFORT"	"BELHV"	"BELHV"
"89"	"TYRRELL"	"000000003813"	"11/06/2012"	"11/06/2012 GENERAL"	"ABSENTEE ONESTOP"	"UNA"	"UNAFFILIATED"	"16"	"SOUTH FORK"	"AG45290"	"89"	"TYRRELL"	"16"	"16"
"89"	"TYRRELL"	"000000003813"	"11/06/2018"	"11/06/2018 GENERAL"	"ABSENTEE ONESTOP"	"UNA"	"UNAFFILIATED"	"2"	"COLUMBIA"	"AG45290"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000003813"	"05/08/2018"	"05/08/2018 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"2"	"COLUMBIA"	"AG45290"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000003813"	"11/02/2010"	"11/02/2010 GENERAL"	"ABSENTEE ONESTOP"	"UNA"	"UNAFFILIATED"	"16"	"SOUTH FORK"	"AG45290"	"89"	"TYRRELL"	"16"	"16"
"89"	"TYRRELL"	"000000003813"	"11/08/2016"	"11/08/2016 GENERAL"	"ABSENTEE ONESTOP"	"UNA"	"UNAFFILIATED"	"2"	"COLUMBIA"	"AG45290"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004923"	"11/08/2016"	"11/08/2016 GENERAL"	"ABSENTEE BY MAIL"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AG51955"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004923"	"03/15/2016"	"03/15/2016 PRIMARY"	"ABSENTEE BY MAIL"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AG51955"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004935"	"11/08/2016"	"11/08/2016 GENERAL"	"IN-PERSON"	"UNA"	"UNAFFILIATED"	"2"	"COLUMBIA"	"AG57376"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004935"	"05/08/2018"	"05/08/2018 PRIMARY"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"2"	"COLUMBIA"	"AG57376"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"11/02/2010"	"11/02/2010 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"C2"	"COLERAIN 2"	"AH14906"	"8"	"BERTIE"	"C2"	"C2"
"89"	"TYRRELL"	"000000004560"	"11/08/2016"	"11/08/2016 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"03/15/2016"	"03/15/2016 PRIMARY"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"11/06/2018"	"11/06/2018 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"05/08/2018"	"05/08/2018 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"04/30/2019"	"04/30/2019 PRIMARY"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"07/09/2019"	"07/09/2019 SECOND PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"09/10/2019"	"09/10/2019 GENERAL"	"IN-PERSON"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"03/03/2020"	"03/03/2020 PRIMARY"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"11/06/2012"	"11/06/2012 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
"89"	"TYRRELL"	"000000004560"	"11/04/2014"	"11/04/2014 GENERAL"	"ABSENTEE ONESTOP"	"REP"	"REPUBLICAN"	"2"	"COLUMBIA"	"AH14906"	"89"	"TYRRELL"	"2"	"2"
