name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through,candidate_inactive,inactive_election_years
"KLOBUCHAR, AMY J.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},P,C,Challenger,2020-03-05 21:14:44,2019-02-11,2019-02-19,2019-02-19,P80006117,2020,f,
"JARAMILLO, MARIO",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-09-30,2018-02-01,2018-02-01,P80005960,2020,f,
"STEVENSON, TRAVIS LEE",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2018,2020}","{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-08-18,2017-12-04,2017-12-04,P80005952,2020,f,
"MOORE, BRIAN PATRICK",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00}","{2008,2020}","{2008,2010,2012,2014,2016,2020}",N,C,Challenger,2019-11-22 21:24:25,2008-01-31,2019-11-19,2019-11-19,P80005275,2020,f,
"POWELL, SAMUEL LYNDELL",P,President,IND,INDEPENDENT,US,00,0,"{00,00,00,00}","{2008,2012,2016,2020}","{2008,2012,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2007-11-13,2017-08-08,2017-08-04,P80005010,2020,f,
"AUGUSTSON, ALAN",P,President,GRE,GREEN PARTY,US,00,0,"{00,00}","{2008,2020}","{2008,2020}",N,C,Challenger,2019-04-17 21:18:58,2007-06-04,2019-04-17,2019-04-17,P80004369,2020,f,
"BLYTH, JOHN DOUGLAS",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00,00,00}","{2008,2012,2016,2020}","{2006,2008,2010,2012,2016,2018,2020}",N,C,Challenger,2019-04-09 21:06:31,2006-06-06,2019-04-02,2019-04-02,P80003114,2020,f,
"SHARKEY, JONATHON THE IMPALER",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00,00}","{2008,2012,2020}","{2006,2008,2010,2012,2014,2016,2020}",N,C,Challenger,2019-08-23 22:05:29,2005-09-19,2019-08-05,2019-08-05,P80002884,2020,f,
"GRAY, HOSANNA JESSE O",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00,00,00,00}","{1988,1996,2000,2004,2020}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2020}",N,C,Challenger,2019-04-09 21:06:31,1987-12-16,2019-03-28,2019-03-28,P80001936,2020,f,
"BIDEN, JOSEPH R JR",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00,00}","{1988,2008,2020}","{1988,1990,2008,2010,2012,2020}",C,C,Challenger,2020-05-23 21:56:09,1987-04-03,2020-05-22,2020-05-22,P80000722,2020,f,
